angle,voltage
90,14.4
75,12.2
60,10.4
45,9
30,7.7
15,6.6
0,5.6
90,14.4
75,12.1
60,10.3
45,8.7
30,7.5
15,6.5
0,NaN
90,NaN
75,12.3
60,10.5
45,9.1
30,7.5
15,6.7
0,5.7
90,14.7
75,12.2
60,10.4
45,8.9
30,7.6
15,6.5
0,
90,
75,12.5
60,10.8
45,9.4
30,8.2
15,6.9
0,5.8
90,14.9
75,12.4
60,10.6
45,9.1
30,7.8
15,6.7
0,NaN
90,NaN
75,12.7
60,11
45,9.7
30,8.5
15,7.1
0,6
90,14.8
75,12.3
60,10.7
45,9.4
30,8.1
15,6.6
0,NaN
90,NaN
75,12.7
60,11.1
45,9.8
30,8.7
15,7.3
0,6.1
